page	entries	image	volume	fix	frequency	check	books	accuracy	centurydiction07whit_djvu.csv	frequency	image	centurydictiona07whit_djvu.csv	frequency	image	centurydictionar07whit_djvu.csv	frequency	image	centurydictionar07whituoft_djvu.csv	frequency	image	centurydictionary07whit_djvu.csv	frequency	image	cu31924091890644_djvu.csv	frequency	image
5437	scythe	132	7		5				scythe	5	135	scythe	5	133	scythe	5	135	scythe	5	135	curving	1	133	scythe	5	132
5438	sea	133	7		5				sea	5	136	sea	5	134	sea	5	136	the	1	136	sea	5	134	sea	5	133
5439	sea-bream	134	7		6				sea-bream	6	137	sea-bream	6	135	sea-bream	6	137	sea-bream	6	137	sea-bream	6	135	sea-bream	6	134
5440	sea-dog	135	7		6				sea-dog	6	138	sea-dog	6	136	sea-dog	6	138	sea-dog	6	138	sea-dog	6	136	sea-dog	6	135
5441	sea-gull	136	7		4				sea-gull	4	139	reniform	1	137	sea-gull	4	139	sea-gull	4	139	sea-gull	4	137	sea-gtdl	1	136
5442	seal	137	7		5				seal	5	140	seal	5	138	seal	5	140	seal	5	140	seal	5	138	It	1	137
5443	sea-leopard	138	7		6				sea-leopard	6	141	sea-leopard	6	139	sea-leopard	6	141	sea-leopard	6	141	sea-leopard	6	139	sea-leopard	6	138
5444	seam	139	7		6				seam	6	142	seam	6	140	seam	6	142	seam	6	142	seam	6	140	seam	6	139
5445	sea-mussel	140	7		6				sea-mussel	6	143	sea-mussel	6	141	sea-mussel	6	143	sea-mussel	6	143	sea-mussel	6	141	sea-mussel	6	140
5446	sear	141	7		5				sear	5	144	sear	5	142	seax	1	144	sear	5	144	sear	5	142	sear	5	141
5447	search-light	142	7		6				search-light	6	145	search-light	6	143	search-light	6	145	search-light	6	145	search-light	6	143	search-light	6	142
5448	season	143	7		6				season	6	146	season	6	144	season	6	146	season	6	146	season	6	144	season	6	143
5449	sea-swine	144	7		5				sea-swine	5	147	sea-swine	5	145	sea-swine	5	147	sea-swine	5	147	sea-swme	1	145	sea-swine	5	144
5450	sea-turtle	145	7		4				sea-turtle	4	148	sea-turtle	4	146	sea-turtle	4	148	sea-ttirtle-	1	148	seavy	1	146	sea-turtle	4	145
5451	sebaceous	146	7		6				sebaceous	6	149	sebaceous	6	147	sebaceous	6	149	sebaceous	6	149	sebaceous	6	147	sebaceous	6	146
5452	secern	147	7		4				secern	4	150	secern	4	148	In	1	150	secern	4	150	secern	4	148	is	1	147
5453	Two-handed	148	7		3	weak			second	2	151	Two-handed	3	149	Two-handed	3	151	I	1	151	second	2	149	Two-handed	3	148
5454	secondary	149	7		5				Item	1	152	secondary	5	150	secondary	5	152	secondary	5	152	secondary	5	150	secondary	5	149
5455	secret	150	7		6				secret	6	153	secret	6	151	secret	6	153	secret	6	153	secret	6	151	secret	6	150
5456	secretary-bird	151	7		5				secretary-bird	5	154	secretary-bird	5	152	secretary-bird	5	154	the	1	154	secretary-bird	5	152	secretary-bird	5	151
5457	sect	152	7		6				sect	6	155	sect	6	153	sect	6	155	sect	6	155	sect	6	153	sect	6	152
5458	sectionality	153	7		5				sectionality	5	156	sectionality	5	154	sectionality	5	156	sectionality	5	156	sectionallty	1	154	sectionality	5	153
5459	secularism	154	7		4				secularism	4	157	secularism	4	155	Becnlarism	1	157	secularism	4	157	secolarisin	1	155	secularism	4	154
5460	securely	155	7		6				securely	6	158	securely	6	156	securely	6	158	securely	6	158	securely	6	156	securely	6	155
5461	sedateness	156	7		6				sedateness	6	159	sedateness	6	157	sedateness	6	159	sedateness	6	159	sedateness	6	157	sedateness	6	156
5462	sediment	157	7		6				sediment	6	160	sediment	6	158	sediment	6	160	sediment	6	160	sediment	6	158	sediment	6	157
5463	Sedum	158	7		6				Sedum	6	161	Sedum	6	159	Sedum	6	161	Sedum	6	161	Sedum	6	159	Sedum	6	158
5464	see	159	7		6				see	6	162	see	6	160	see	6	162	see	6	162	see	6	160	see	6	159
5465	seeding-machine	160	7		6				seeding-machine	6	163	seeding-machine	6	161	seeding-machine	6	163	seeding-machine	6	163	seeding-machine	6	161	seeding-machine	6	160
5466	seeker	161	7		6				seeker	6	164	seeker	6	162	seeker	6	164	seeker	6	164	seeker	6	162	seeker	6	161
5467	seeming	162	7		5				seeming	5	165	seenung	1	163	seeming	5	165	seeming	5	165	seeming	5	163	seeming	5	162
5468	seethe	163	7		6				seethe	6	166	seethe	6	164	seethe	6	166	seethe	6	166	seethe	6	164	seethe	6	163
5469	segregant	164	7		6				segregant	6	167	segregant	6	165	segregant	6	167	segregant	6	167	segregant	6	165	segregant	6	164
5470	seine	165	7		4				seine	4	168	seme	2	166	seme	2	168	seine	4	168	seine	4	166	seine	4	165
5471	Seisura	166	7		5				Seisura	5	169	Seisura	5	167	Seisura	5	169	Seisura	5	169	Seisnra	1	167	Seisura	5	166
5472	A	167	7		2	tie			sekere	2	170	A	2	168	t	1	170	I	1	170	A	2	168	sekere	2	167
5473	seldom	168	7		6				seldom	6	171	seldom	6	169	seldom	6	171	seldom	6	171	seldom	6	169	seldom	6	168
5474	selector	169	7		6				selector	6	172	selector	6	170	selector	6	172	selector	6	172	selector	6	170	selector	6	169
5475	self	170	7		5				m	1	173	self	5	171	self	5	173	self	5	173	self	5	171	self	5	170
5476	self-command	171	7		6				self-command	6	174	self-command	6	172	self-command	6	174	self-command	6	174	self-command	6	172	self-command	6	171
5477	self-denying	172	7		6				self-denying	6	175	self-denying	6	173	self-denying	6	175	self-denying	6	175	self-denying	6	173	self-denying	6	172
5478	self-importance	173	7		6				self-importance	6	176	self-importance	6	174	self-importance	6	176	self-importance	6	176	self-importance	6	174	self-importance	6	173
5479	self-perplexed	174	7		6				self-perplexed	6	177	self-perplexed	6	175	self-perplexed	6	177	self-perplexed	6	177	self-perplexed	6	175	self-perplexed	6	174
5480	self-sterile	175	7		6				self-sterile	6	178	self-sterile	6	176	self-sterile	6	178	self-sterile	6	178	self-sterile	6	176	self-sterile	6	175
5481	sell	176	7		5				sell	5	179	sell	5	177	sell	5	179	seU	1	179	sell	5	177	sell	5	176
5482	semblable	177	7		6				semblable	6	180	semblable	6	178	semblable	6	180	semblable	6	180	semblable	6	178	semblable	6	177
5483	semiaquatic	178	7		3	weak			semiaquatic	3	181	semiaquatic	3	179	semlaquatic	1	181	senuacLuatic	1	181	semiaquatic	3	179	semlaauatic	1	178
5484	semi	179	7		2	tie			semidiaphaneity	2	182	semi	2	180	semi	2	182	semidiaphaneity	2	182	semldiaphaneity	1	180	senudiaphaneity	1	179
5485	semi-menstmal	180	7		4				semi-menstmal	4	183	semi-menstrual	2	181	semi-menstmal	4	183	semi-menstmal	4	183	semi-menstrual	2	181	semi-menstmal	4	180
5486	semiology	181	7		6				semiology	6	184	semiology	6	182	semiology	6	184	semiology	6	184	semiology	6	182	semiology	6	181
5487	Seniisagit-	182	7		1	tie			Puddled	1	185	Seniisagit-	1	183	Scmisagit-	1	185	Early	1	185	tate	1	183	semi-regular	1	182
5488	semi-uncial	183	7		3	weak			semi-uncial	3	186	semi-uncial	3	184	semi-uncial-	1	186	semi-imclal	1	186	One	1	184	semi-uncial	3	183
5489	sen	184	7		6				sen	6	187	sen	6	185	sen	6	187	sen	6	187	sen	6	185	sen	6	184
5490	send	185	7		5				send	5	188	send	5	186	send	5	188	Bend	1	188	send	5	186	send	5	185
5491	seneschal	186	7		6				seneschal	6	189	seneschal	6	187	seneschal	6	189	seneschal	6	189	seneschal	6	187	seneschal	6	186
5492	sefior	187	7		3	weak			sefior	3	190	senor	2	188	senoT	1	190	sefior	3	190	sefior	3	188	senor	2	187
5493	sense	188	7		5				sense	5	191	sense	5	189	sense	5	191	I	1	191	sense	5	189	sense	5	188
5494	sense-rhythm	189	7		6				sense-rhythm	6	192	sense-rhythm	6	190	sense-rhythm	6	192	sense-rhythm	6	192	sense-rhythm	6	190	sense-rhythm	6	189
5495	sensitive	190	7		3	weak			f	1	193	sensitive	3	191	sensitiye	1	193	I	1	193	sensitive	3	191	sensitive	3	190
5496	sensualist	191	7		6				sensualist	6	194	sensualist	6	192	sensualist	6	194	sensualist	6	194	sensualist	6	192	sensualist	6	191
5497	sententiously	192	7		5				sententiously	5	195	sententiously	5	193	sententiously	5	195	sententionsly	1	195	sententiously	5	193	sententiously	5	192
5498	sentinel	193	7		6				sentinel	6	196	sentinel	6	194	sentinel	6	196	sentinel	6	196	sentinel	6	194	sentinel	6	193
5499	separation	194	7		5				separation	5	197	separation	5	195	separation	5	197	I	1	197	separation	5	195	separation	5	194
5500	of	195	7		3	weak			Sepidse	1	198	dim	1	196	of	3	198	of	3	198	Sepidae	1	196	of	3	195
5501	Septembrist	196	7		5				r	1	199	Septembrist	5	197	Septembrist	5	199	Septembrist	5	199	Septembrist	5	197	Septembrist	5	196
5502	septile	197	7		5				septile	5	200	septile	5	198	septile	5	200	septile	5	200	septlle	1	198	septile	5	197
5503	sepulcher	198	7		4				sepulcher	4	201	sepulcher	4	199	Bepulcher	1	201	sepulcher	4	201	sepulcher	4	199	sepnlcher	1	198
5504	sequent	199	7		5				sequent	5	202	sequent	5	200	sequent	5	202	seauent	1	202	sequent	5	200	sequent	5	199
5505	Sequoia	200	7		4				It'f	1	203	SecLUoia	1	201	Sequoia	4	203	Sequoia	4	203	Sequoia	4	201	Sequoia	4	200
5506	Serapias	201	7		6				Serapias	6	204	Serapias	6	202	Serapias	6	204	Serapias	6	204	Serapias	6	202	Serapias	6	201
5507	sereneness	202	7		6				sereneness	6	205	sereneness	6	203	sereneness	6	205	sereneness	6	205	sereneness	6	203	sereneness	6	202
